@42;I;Ver:1a#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;+UGNSINF: 1,0,19800107142923.091,,,,0.00,0.0,0,,,,,,0,0,,,,,#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;+UGNSINF: 1,0,198#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;#
@42;T;+UGNSINF: 1,0,19800107143027.091,,,,0.00,0.0,0,,,,,,0,0,,,,,#
@42;T;#
@42;T;#
